State,Year,Month,Unemployment Rate,School closing,Workplace closing,Cancel public event,Restriction on gathering,Close public transport,State at home requirement,Restrictions on internal movement,International travel control
Alabama,2021,02,3.9,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0
Alabama,2021,03,3.8,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0
Alabama,2021,04,3.7,1.1333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0,1.0,3.0
Alabama,2021,05,3.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0
Alabama,2021,06,3.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0
Alabama,2021,07,3.3,0.06451612903225806,0.0,1.0,0.0,0.0,0.1935483870967742,1.0,3.0
Alabama,2021,08,3.2,1.0,0.0,0.45161290322580644,0.0,0.0,0.0,1.0,3.0
Alabama,2021,09,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Alabama,2021,10,2.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Alabama,2021,11,2.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7333333333333334
Alabama,2021,12,2.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.935483870967742
Alabama,2022,01,2.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Alabama,2022,02,2.6,1.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.0
Alabama,2022,03,2.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,2022,04,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,2022,05,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,2022,06,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,2022,07,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alabama,2022,08,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,1.0
Alabama,2022,09,2.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Alabama,2022,10,2.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Alabama,2022,11,2.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Alabama,2022,12,2.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Alaska,2019,01,6,0,0,0,0,0,0,0,0
Alaska,2019,02,5.9,0,0,0,0,0,0,0,0
Alaska,2019,03,5.8,0,0,0,0,0,0,0,0
Alaska,2019,04,5.7,0,0,0,0,0,0,0,0
Alaska,2019,05,5.6,0,0,0,0,0,0,0,0
Alaska,2019,06,5.6,0,0,0,0,0,0,0,0
Alaska,2019,07,5.6,0,0,0,0,0,0,0,0
Alaska,2019,08,5.6,0,0,0,0,0,0,0,0
Alaska,2019,09,5.5,0,0,0,0,0,0,0,0
Alaska,2019,10,5.4,0,0,0,0,0,0,0,0
Alaska,2019,11,5.3,0,0,0,0,0,0,0,0
Alaska,2019,12,5.3,0,0,0,0,0,0,0,0
Alaska,2020,01,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613
Alaska,2020,02,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310344827586207
Alaska,2020,03,5.5,1.6451612903225807,1.4516129032258065,1.096774193548387,1.903225806451613,0.45161290322580644,0.6451612903225806,0.6451612903225806,3.0
Alaska,2020,04,11.7,3.0,2.7666666666666666,2.0,3.7666666666666666,1.9333333333333333,1.7666666666666666,1.7666666666666666,3.0
Alaska,2020,05,11.8,3.0,1.2258064516129032,1.2258064516129032,2.903225806451613,2.0,1.0,1.6451612903225807,3.0
Alaska,2020,06,11.2,3.0,1.0,1.0,2.0,0.0,1.0,1.1333333333333333,3.0
Alaska,2020,07,11.1,3.0,1.0,1.0,2.2580645161290325,0.0,1.0,1.5483870967741935,3.0
Alaska,2020,08,8.6,3.0,1.903225806451613,1.0,3.0,0.0,1.0,2.0,3.0
Alaska,2020,09,7.9,3.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0
Alaska,2020,10,7.3,3.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0
Alaska,2020,11,7.1,3.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0
Alaska,2020,12,7.1,3.0,2.0,2.0,4.0,0.0,1.0,2.0,3.0
Alaska,2021,01,7,2.5806451612903225,1.0,2.0,4.0,0.0,1.0,2.0,3.0
Alaska,2021,02,7,2.0,1.0,2.0,4.0,0.0,1.0,2.0,3.0
Alaska,2021,03,7,1.4516129032258065,1.0,1.2258064516129032,3.225806451612903,0.0,1.0,2.0,3.0
Alaska,2021,04,7,1.0,1.0,1.0,3.0,0.0,1.0,1.8333333333333333,3.0
Alaska,2021,05,6.8,1.0,1.0,1.0,2.5483870967741935,0.0,1.0,1.0,3.0
Alaska,2021,06,6.8,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
Alaska,2021,07,6.4,1.0,0.2903225806451613,1.0,1.5806451612903225,0.0,1.0,1.0,3.0
Alaska,2021,08,6.2,1.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0
