State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 2019 base
Minnesota,MN,27,2022,12.19,813.56,126.2840911
Minnesota,MN,27,2023,4.19,847.67,131.578784
Mississippi,MS,28,2019,3.33,347.58,100
Mississippi,MS,28,2020,2.41,355.97,102.4138328
Mississippi,MS,28,2021,8.5,386.22,111.1168652
Mississippi,MS,28,2022,14.19,441.02,126.8830197
Mississippi,MS,28,2023,5.57,465.59,133.951896
Missouri,MO,29,2019,4.76,466.36,100
Missouri,MO,29,2020,3.75,483.87,103.7546102
Missouri,MO,29,2021,11.23,538.23,115.4108414
Missouri,MO,29,2022,15.31,620.61,133.0753066
Missouri,MO,29,2023,7.95,669.98,143.661549
Montana,MT,30,2019,4.96,764.26,100
Montana,MT,30,2020,4.4,797.9,104.4016434
Montana,MT,30,2021,16.39,928.66,121.5110041
Montana,MT,30,2022,20.69,1120.81,146.6529715
Montana,MT,30,2023,7.06,1199.89,157.0002355
Nebraska,NE,31,2019,5.15,508.04,100
Nebraska,NE,31,2020,3.1,523.81,103.1040863
Nebraska,NE,31,2021,10.55,579.07,113.9811826
Nebraska,NE,31,2022,14.56,663.4,130.5802693
Nebraska,NE,31,2023,8.3,718.48,141.4219353
Nevada,NV,32,2019,6.24,710.98,100
Nevada,NV,32,2020,3.07,732.83,103.0732229
Nevada,NV,32,2021,15.88,849.19,119.4393654
Nevada,NV,32,2022,18.32,1004.78,141.323244
Nevada,NV,32,2023,0.37,1008.47,141.8422459
New Hampshire,NH,33,2019,5.13,741.86,100
New Hampshire,NH,33,2020,5.03,779.19,105.0319467
New Hampshire,NH,33,2021,14.21,889.88,119.9525517
New Hampshire,NH,33,2022,16.24,1034.41,139.4346642
New Hampshire,NH,33,2023,10.36,1141.55,153.8767422
New Jersey,NJ,34,2019,3.32,809.05,100
New Jersey,NJ,34,2020,3.24,835.27,103.240838
New Jersey,NJ,34,2021,10.81,925.54,114.3983685
New Jersey,NJ,34,2022,14.96,1064,131.5122675
New Jersey,NJ,34,2023,10.46,1175.27,145.2654348
New Mexico,NM,35,2019,4.88,542.16,100
New Mexico,NM,35,2020,4.75,567.91,104.7495204
New Mexico,NM,35,2021,11.36,632.4,116.644533
New Mexico,NM,35,2022,14.7,725.36,133.7907629
New Mexico,NM,35,2023,8.06,783.79,144.5680242
New York,NY,36,2019,3.78,810.19,100
New York,NY,36,2020,3.32,837.08,103.3189746
New York,NY,36,2021,9.39,915.7,113.0228712
New York,NY,36,2022,12.77,1032.67,127.4602254
New York,NY,36,2023,8.13,1116.64,137.8244609
North Carolina,NC,37,2019,5.42,522.89,100
North Carolina,NC,37,2020,4.02,543.89,104.0161411
North Carolina,NC,37,2021,12.93,614.21,117.4644763
North Carolina,NC,37,2022,20.87,742.42,141.9839737
North Carolina,NC,37,2023,8.98,809.1,154.7361778
North Dakota,ND,38,2019,2.26,540.27,100
North Dakota,ND,38,2020,1.04,545.87,101.0365188
North Dakota,ND,38,2021,4.94,572.82,106.0247654
North Dakota,ND,38,2022,10.45,632.7,117.1081126
North Dakota,ND,38,2023,5.02,664.44,122.982953
Ohio,OH,39,2019,4.86,421.23,100
Ohio,OH,39,2020,4.33,439.46,104.3278019
Ohio,OH,39,2021,11.2,488.68,116.0126297
Ohio,OH,39,2022,13.82,556.22,132.0466254
Ohio,OH,39,2023,8.14,601.51,142.7984711
Oklahoma,OK,40,2019,3.77,440.78,100
Oklahoma,OK,40,2020,3.84,457.69,103.836381
Oklahoma,OK,40,2021,10.09,503.87,114.3132629
Oklahoma,OK,40,2022,15.27,580.82,131.7709515
Oklahoma,OK,40,2023,7.43,623.94,141.5536095
Oregon,OR,41,2019,4.37,995,100
Oregon,OR,41,2020,3.42,1029,103.4170854
Oregon,OR,41,2021,13.69,1169.9,117.5778894
Oregon,OR,41,2022,14.18,1335.84,134.2552764
Oregon,OR,41,2023,0.85,1347.25,135.4020101
Pennsylvania,PA,42,2019,3.96,559.38,100
Pennsylvania,PA,42,2020,3.58,579.4,103.5789624
Pennsylvania,PA,42,2021,9.92,636.88,113.8546248
Pennsylvania,PA,42,2022,13.01,719.76,128.6710286
Pennsylvania,PA,42,2023,7.41,773.1,138.2065859
Rhode Island,RI,44,2019,4.44,820.61,100
Rhode Island,RI,44,2020,4.32,856.05,104.3187385
Rhode Island,RI,44,2021,13.44,971.12,118.341234
Rhode Island,RI,44,2022,15.86,1125.1,137.1053241
Rhode Island,RI,44,2023,9.56,1232.61,150.2065537
South Carolina,SC,45,2019,5.13,502.84,100
South Carolina,SC,45,2020,3.49,520.38,103.4881871
South Carolina,SC,45,2021,11.69,581.21,115.5854745
South Carolina,SC,45,2022,19.6,695.15,138.2447697
South Carolina,SC,45,2023,9.76,763.03,151.7440935
South Dakota,SD,46,2019,4.38,543.91,100
South Dakota,SD,46,2020,2.99,560.15,102.9857881
South Dakota,SD,46,2021,11.25,623.16,114.5704253
South Dakota,SD,46,2022,17.15,730.01,134.2152194
