State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 2019 base
Missouri,MO,29,2022,15.31,620.61,133.0753066
Montana,MT,30,2019,4.96,764.26,163.8776911
Montana,MT,30,2020,4.4,797.9,100
Montana,MT,30,2021,16.39,928.66,116.3880185
Montana,MT,30,2022,20.69,1120.81,140.4699837
Nebraska,NE,31,2019,5.15,508.04,63.67213937
Nebraska,NE,31,2020,3.1,523.81,65.64857752
Nebraska,NE,31,2021,10.55,579.07,100
Nebraska,NE,31,2022,14.56,663.4,114.5630062
Nevada,NV,32,2019,6.24,710.98,122.7796294
Nevada,NV,32,2020,3.07,732.83,126.5529211
Nevada,NV,32,2021,15.88,849.19,146.6472102
Nevada,NV,32,2022,18.32,1004.78,100
New Hampshire,NH,33,2019,5.13,741.86,73.83307789
New Hampshire,NH,33,2020,5.03,779.19,77.54831904
New Hampshire,NH,33,2021,14.21,889.88,88.56466092
New Hampshire,NH,33,2022,16.24,1034.41,102.9489042
New Jersey,NJ,34,2019,3.32,809.05,100
New Jersey,NJ,34,2020,3.24,835.27,103.240838
New Jersey,NJ,34,2021,10.81,925.54,114.3983685
New Jersey,NJ,34,2022,14.96,1064,131.5122675
New Mexico,NM,35,2019,4.88,542.16,67.01192757
New Mexico,NM,35,2020,4.75,567.91,100
New Mexico,NM,35,2021,11.36,632.4,111.3556726
New Mexico,NM,35,2022,14.7,725.36,127.7244634
New York,NY,36,2019,3.78,810.19,142.6616894
New York,NY,36,2020,3.32,837.08,147.3965945
New York,NY,36,2021,9.39,915.7,100
New York,NY,36,2022,12.77,1032.67,112.7738342
North Carolina,NC,37,2019,5.42,522.89,57.10276291
North Carolina,NC,37,2020,4.02,543.89,59.39609042
North Carolina,NC,37,2021,12.93,614.21,67.0754614
North Carolina,NC,37,2022,20.87,742.42,100
North Dakota,ND,38,2019,2.26,540.27,72.77147706
North Dakota,ND,38,2020,1.04,545.87,73.52576709
North Dakota,ND,38,2021,4.94,572.82,77.15578783
North Dakota,ND,38,2022,10.45,632.7,85.22130331
Ohio,OH,39,2019,4.86,421.23,100
Ohio,OH,39,2020,4.33,439.46,104.3278019
Ohio,OH,39,2021,11.2,488.68,116.0126297
Ohio,OH,39,2022,13.82,556.22,132.0466254
Oklahoma,OK,40,2019,3.77,440.78,104.6411699
Oklahoma,OK,40,2020,3.84,457.69,100
Oklahoma,OK,40,2021,10.09,503.87,110.0897988
Oklahoma,OK,40,2022,15.27,580.82,126.9024886
Oregon,OR,41,2019,4.37,995,217.3960541
Oregon,OR,41,2020,3.42,1029,224.824663
Oregon,OR,41,2021,13.69,1169.9,100
Oregon,OR,41,2022,14.18,1335.84,114.1841183
Pennsylvania,PA,42,2019,3.96,559.38,47.81434311
Pennsylvania,PA,42,2020,3.58,579.4,49.52560048
Pennsylvania,PA,42,2021,9.92,636.88,54.43884093
Pennsylvania,PA,42,2022,13.01,719.76,100
Rhode Island,RI,44,2019,4.44,820.61,114.011615
Rhode Island,RI,44,2020,4.32,856.05,118.9354785
Rhode Island,RI,44,2021,13.44,971.12,134.922752
Rhode Island,RI,44,2022,15.86,1125.1,156.3159942
South Carolina,SC,45,2019,5.13,502.84,100
South Carolina,SC,45,2020,3.49,520.38,103.4881871
South Carolina,SC,45,2021,11.69,581.21,115.5854745
South Carolina,SC,45,2022,19.6,695.15,138.2447697
South Dakota,SD,46,2019,4.38,543.91,108.167608
South Dakota,SD,46,2020,2.99,560.15,100
South Dakota,SD,46,2021,11.25,623.16,111.2487727
South Dakota,SD,46,2022,17.15,730.01,130.3240204
Tennessee,TN,47,2019,5.62,526.91,94.06587521
Tennessee,TN,47,2020,4.43,550.26,98.2344015
Tennessee,TN,47,2021,14.1,627.84,100
Tennessee,TN,47,2022,21.36,761.94,121.358945
Texas,TX,48,2019,4.57,552.61,88.01764781
Texas,TX,48,2020,3.25,570.59,90.88143476
Texas,TX,48,2021,12.52,642,102.2553517
Texas,TX,48,2022,18.46,760.52,100
Utah,UT,49,2019,7.5,819.31,107.7302372
Utah,UT,49,2020,5.45,863.98,113.60385
Utah,UT,49,2021,18.86,1026.93,135.0299795
Utah,UT,49,2022,20.14,1233.74,162.2232157
Vermont,VT,50,2019,3.78,610.05,100
Vermont,VT,50,2020,3.42,630.94,103.4243095
Vermont,VT,50,2021,12.3,708.56,116.1478567
Vermont,VT,50,2022,16.19,823.3,134.9561511
Virginia,VA,51,2019,3.92,641.32,105.1258094
Virginia,VA,51,2020,3.3,662.5,100
Virginia,VA,51,2021,9.54,725.68,109.5366038
Virginia,VA,51,2022,14.02,827.44,124.8966038
Washington,WA,53,2019,5.73,1235.93,186.5554717
Washington,WA,53,2020,5.1,1298.97,196.0709434
Washington,WA,53,2021,14.55,1487.96,100
Washington,WA,53,2022,17.13,1742.77,117.1247883
West Virginia,WV,54,2019,2.01,323.85,21.76469798
West Virginia,WV,54,2020,2.42,331.69,22.29159386
West Virginia,WV,54,2021,7.91,357.92,24.05441006
West Virginia,WV,54,2022,10.56,395.7,100
Wisconsin,WI,55,2019,4.86,520.44,131.5238817
Wisconsin,WI,55,2020,2.61,534.03,134.9583017
Wisconsin,WI,55,2021,10.03,587.58,148.4912813
Wisconsin,WI,55,2022,14.68,673.86,170.2956785
Wyoming,WY,56,2019,4.36,606.63,100
Wyoming,WY,56,2020,3.81,629.71,103.8046256
Wyoming,WY,56,2021,9.47,689.37,113.6392859
Wyoming,WY,56,2022,14.6,790,130.2276511
